,fayalite : olivine,monticellite : olivine,forsterite : olivine,gC : orthopyroxene,g0 : orthopyroxene,g1 : orthopyroxene,g2 : orthopyroxene,g3 : orthopyroxene,g4 : orthopyroxene,g5: orthopyroxene,gC : clinopyroxene,g0 : clinopyroxene,g1 : clinopyroxene,g2 : clinopyroxene,g3 : clinopyroxene,g4 : clinopyroxene,g5 : clinopyroxene,chromite : spinel,w0 : spinel,w1 : spinel,w2 : spinel,w3 : spinel,albite : plagioclase,anorthite : plagioclase,highsanidine : plagioclase,albite : k-feldspar,anorthite : k-feldspar,sanidine : k-feldspar,almandine : garnet,grossular : garnet,pyrope : garnet,na-nepheline : nepheline,k-nepheline : nepheline,vc-nepheline : nepheline,ca-nepheline : nepheline,leucite : leucite,analcime : leucite,na-leucite : leucite,annite : biotite,phlogopite : biotite,geikielite : rhm-oxide,hematite : rhm-oxide,ilmenite : rhm-oxide,corundum : rhm-oxide,Fe-metal : alloy-solid,leucite : analcime,analcime : analcime,na-leucite : analcime,apatite,whitlockite,quartz,tridymite,muscovite,water,Si,Ti,Al,Fe,Mg,Ca,Na,K,P,H,Cr
chromite : spinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hercynite : spinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magnetite : spinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spinel : spinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulvospinel : spinel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite : plagioclase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anorthite : plagioclase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
highsanidine : plagioclase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
albite : k-feldspar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anorthite : k-feldspar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
