Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
6463.8,1950.0,2.16,62.12,0.46,17.87,2.68,1.13,3.99,2.0,4.51,0.15,0.0,5.09,0.0,0.0,1.0
11827.19,1953.0,0.43,59.93,0.62,16.12,5.07,2.51,6.06,2.88,2.95,0.21,0.0,1.46,2.19,0.0,1.0
7058.18,1987.0,-1.21,71.44,0.18,13.43,1.37,0.68,0.89,5.62,1.21,0.01,0.0,5.16,0.0,0.0,1.0
1738.77,1992.0,-1.57,60.22,0.39,16.39,3.43,1.83,4.53,4.24,1.76,0.2,0.0,5.08,1.94,0.0,1.0
8450.48,1945.0,3.26,57.41,1.0,18.0,4.89,4.22,6.51,4.57,1.58,0.28,0.0,1.52,0.0,0.0,1.0
976.76,1946.0,-0.59,67.07,0.49,15.5,3.07,1.63,3.15,4.27,3.18,0.16,0.0,1.49,0.0,0.0,1.0
7199.52,1950.0,-2.22,59.16,0.7,17.12,5.34,3.55,6.73,3.87,1.8,0.26,0.0,1.49,0.0,0.0,1.0
3728.91,1951.0,-2.4,68.35,0.22,16.97,2.23,1.04,4.06,4.19,1.37,0.09,0.0,1.48,0.0,0.0,1.0
985.91,1959.0,2.14,54.84,0.72,14.32,4.53,3.06,2.99,5.11,0.86,0.29,0.0,1.35,11.93,0.0,1.0
2333.92,1966.0,1.85,68.03,0.82,14.49,5.43,0.84,3.81,4.41,1.84,0.33,0.0,0.0,0.0,0.0,1.0
3822.67,1979.0,1.0,72.05,0.19,14.24,2.32,0.57,2.87,4.43,1.8,0.06,0.0,1.48,0.0,0.0,1.0
7758.49,1982.0,-2.15,50.25,1.04,11.06,0.0,21.02,15.74,0.85,0.03,0.01,0.0,0.0,0.0,0.0,1.0
8684.39,1983.0,-2.11,62.32,0.28,13.12,3.9,8.47,4.64,3.73,1.65,0.1,0.0,1.79,0.0,0.0,1.0
3228.61,1986.0,-1.4,52.05,0.33,13.79,2.67,1.39,3.61,3.46,1.63,0.13,0.0,1.19,19.75,0.0,1.0
1437.88,1990.0,4.97,52.37,0.54,14.47,3.2,1.38,2.88,3.27,1.65,0.2,0.0,0.0,20.03,0.0,1.0
11110.66,1991.0,2.82,62.07,0.39,16.78,3.35,1.7,4.57,4.17,1.79,0.15,0.0,5.04,0.0,0.0,1.0
1063.07,1945.0,-3.97,60.77,0.79,17.47,4.76,1.81,5.84,4.6,1.21,0.22,0.0,2.53,0.0,0.0,1.0
867.15,1947.0,-3.99,70.08,0.36,15.18,1.48,1.09,1.08,3.95,4.93,0.13,0.0,1.71,0.0,0.0,1.0
4955.74,1952.0,-0.74,56.12,0.62,18.38,0.0,7.62,13.22,3.89,0.08,0.05,0.0,0.0,0.01,0.0,1.0
8389.1,1957.0,-0.45,61.83,1.11,16.53,4.89,1.62,4.24,4.33,3.41,0.44,0.0,1.48,0.13,0.0,1.0
865.97,1959.0,0.91,48.07,0.52,15.14,4.28,2.49,5.44,3.61,1.44,0.3,0.0,1.22,17.49,0.0,1.0
1069.34,1960.0,-1.18,48.2,2.28,15.21,10.27,8.03,10.39,3.62,1.59,0.39,0.0,0.0,0.0,0.0,1.0
1443.01,1961.0,2.97,51.72,0.39,14.7,2.98,1.63,3.96,3.6,1.59,0.15,0.0,0.0,19.29,0.0,1.0
9936.08,1985.0,0.72,53.29,1.49,16.46,9.21,5.12,10.13,3.72,0.4,0.17,0.0,0.0,0.0,0.0,1.0
5422.71,1986.0,-1.78,57.0,1.1,18.21,0.0,8.52,10.77,3.43,0.87,0.11,0.0,0.0,0.0,0.0,1.0
8330.71,1991.0,-4.98,77.8,0.0,17.21,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9989.3,1947.0,-3.02,70.2,0.19,17.05,1.7,0.78,2.0,5.6,0.89,0.07,0.0,1.52,0.0,0.0,1.0
4088.37,1950.0,-2.47,53.67,1.45,18.72,0.0,8.55,14.37,3.03,0.22,0.0,0.0,0.0,0.0,0.0,1.0
2965.93,1953.0,-3.44,51.08,1.56,14.37,11.55,7.15,11.43,2.46,0.21,0.18,0.0,0.0,0.0,0.0,1.0
9148.79,1957.0,1.39,51.28,0.08,19.51,0.0,10.46,17.49,1.02,0.03,0.0,0.0,0.0,0.13,0.0,1.0
11578.49,1960.0,3.99,43.09,0.04,0.64,8.02,46.76,0.9,0.09,0.03,0.04,0.0,0.0,0.39,0.0,1.0
7103.19,1965.0,1.04,63.78,0.57,16.53,3.43,2.48,4.43,4.45,2.57,0.28,0.0,1.48,0.0,0.0,1.0
9819.98,1966.0,-2.58,68.12,0.54,14.97,4.37,2.08,2.78,4.16,1.29,0.2,0.0,1.49,0.0,0.0,1.0
7496.37,1977.0,4.04,55.17,0.63,13.35,4.41,2.1,4.52,3.79,1.15,0.23,0.0,1.33,13.31,0.0,1.0
10883.38,1984.0,-0.47,52.09,0.51,11.07,3.58,1.6,3.33,3.47,1.83,0.18,0.0,1.19,21.13,0.0,1.0
8215.87,1994.0,4.7,59.22,0.64,17.69,6.29,3.49,7.32,3.17,1.97,0.2,0.0,0.0,0.0,0.0,1.0
9574.91,1947.0,-2.46,60.02,0.57,15.03,4.28,4.3,6.05,3.7,3.55,0.21,0.0,1.48,0.83,0.0,1.0
2017.56,1954.0,-4.37,51.38,1.63,15.2,9.53,7.21,11.62,3.04,0.2,0.18,0.0,0.0,0.0,0.0,1.0
8242.94,1956.0,0.54,63.59,0.32,16.0,4.31,0.57,4.51,3.68,1.85,0.11,0.0,5.06,0.0,0.0,1.0
4517.97,1960.0,-4.56,67.09,0.34,14.4,3.03,2.01,0.55,5.85,1.52,0.1,0.0,5.12,0.0,0.0,1.0
