,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO
568164.7398693,63.076677316293924,0.2204472843450479,15.64217252396166,2.204472843450479,0.9968051118210862,3.7188498402555905,3.920127795527156,1.6102236421725238,0.07667731629392971,0.0670926517571885,8.46645367412141,0.0,0.0
8405419.1029644,50.59637165480605,1.483411847248672,14.703818783201362,11.035381377167484,7.42708228926531,11.285957702716246,2.4656710433998192,0.49112959807557377,0.33076074972436603,0.18041495439510874,0.0,0.0,0.0
354492.5141824,62.53801337920207,0.7433202858066807,16.5116212820524,3.3598076918461968,3.270609257549395,5.500570114969437,4.747338892018667,1.952454617385548,0.43608123433991935,0.059465622864534454,0.44531427955461933,0.43540334241052386,0.0
889805.989002,61.17309177624308,0.5865497310335752,17.13129731673926,4.515114203356347,2.639473789651089,5.91606194232141,4.126073970029293,2.1136016170002954,0.22248438073687352,0.09101633757417557,1.485234935314588,0.0,0.0
805570.1929233,57.28859127683395,0.9001914942864091,17.0732948579265,6.452438245338976,4.227865669794595,6.533974216955284,4.146949580420536,1.4059170528742793,0.27309180163744995,0.11125962288933146,1.517176675763611,0.0,0.0692495052791029
496341.6533948,55.773621602499674,0.8147149934895235,16.608406855232218,6.252692178949717,4.996264237182741,7.391330001176039,3.6613095490553285,1.3447705314224667,0.2650277689664715,0.10797427624559951,0.9207835247274981,1.6707342625123214,0.19237021854041808
406026.7001772,75.48626215752493,0.22796534002403804,13.479689670986597,0.11893843827341115,0.19823073045568526,2.5472648863555554,4.807095213550367,1.4173497227581495,0.0792922921822741,0.009911536522784262,1.4867304784176394,0.0,0.14126953294856104
2748803.2667477,61.39771845003838,1.093250312623895,16.135203274708022,4.6072691746292715,1.932710374102957,4.168016816878599,4.314434269462157,3.4554518809719537,0.4197300307395311,0.04880581752785246,1.4641745258355736,0.915161980780176,0.048073091701630204
889887.1581587,55.06179427031337,0.6805057862532007,15.977092372901275,5.891484761928707,5.730055968305937,7.505288454183855,3.619501790651085,1.2919747536111457,0.2169728593850786,0.1084864296925393,1.4511046211647063,2.0621676620056815,0.40357026960341696
30926.8637644,45.94592756556516,0.7119549136285772,12.831745536329008,5.140976760038912,4.619428393078443,7.872896777450895,2.4670065611780934,1.2169461895744285,0.2649134562338892,0.08278545507309037,1.2417818260963556,17.23357648565763,0.3700600800955473
300399.119141,57.185556345489324,1.614187821111919,13.563114740806245,10.255998229259875,4.311062595408662,6.250056502476028,3.7303486841549836,0.9645756492010247,0.32480608595544713,0.2362226079675979,1.4763912997974868,0.0,0.08767943837141161
889849.1102594,58.660159027901535,0.5974364547982379,17.325657189148842,5.766059720881603,3.4529801879016775,7.1186072495451045,3.26058539737343,1.9644520717094605,0.18226874892149575,0.1012604160674983,1.4860978662065985,0.0,0.08443566954450969
7154341.1153221,50.937658388241246,1.9462747085656358,14.242270653826658,12.235174860618345,6.1429295489102875,11.424227065382663,2.655854029396857,0.22301064368981244,0.19260010136847439,0.0,0.0,0.0,0.0
6476128.1490558,51.09467583321539,1.9750439406121674,14.151035251864277,11.926751928016696,6.409959135983522,10.626049580870301,3.0446753815129224,0.3156898349880701,0.22986636633471555,0.22625274660194272,0.0,0.0,0.0
885943.4700174,72.18,0.3,14.94,1.0178429535329203,0.61,0.34,4.45,4.53,0.05,0.01,1.5721570464670855,0.0,0.0
929860.8857944,65.07611491160367,0.696533340032455,15.62224776929935,3.3135086032972505,2.0896000200973655,4.477714328780069,3.781180988747613,3.0846476487151584,0.1990095257235586,0.0995047628617793,1.4925714429266894,0.0,0.06736665791505106
349231.6122352,62.726487377167246,0.5847213545283992,15.585848518981127,4.18378210567734,3.8410144150917263,5.635504089334055,3.185723241913348,1.2601753330353431,0.19154665062137216,0.08065122131426197,1.5122103996424119,1.0372046808663524,0.1751306118270378
4429074.1700280,44.06732033359092,0.09634394789398153,2.358419557821423,8.149092259365936,42.1404413757113,2.458777836877654,0.0,0.03211464929799385,0.006021496743373845,0.13046576277309999,0.0,0.29605692321588073,0.2649458567084492
1671835.93002,51.38650801653726,2.178078047796713,13.885247554704044,12.060098820207726,6.312392860744176,10.839971765654937,2.9041040637289504,0.22184128264596148,0.21175758798023595,0.0,0.0,0.0,0.0
568164.2709874,63.076677316293924,0.2204472843450479,15.64217252396166,2.204472843450479,0.9968051118210862,3.7188498402555905,3.920127795527156,1.6102236421725238,0.07667731629392971,0.0670926517571885,8.46645367412141,0.0,0.0
889828.6425705,58.66852112882107,0.6685018563998318,16.034066913948234,5.519342897118249,3.5719949938976137,6.69499620364608,2.74385090313364,3.033202452918643,0.2195080722506908,0.08979875682982812,1.4679103449782578,1.232338629001779,0.055966847056093436
889864.4061783,47.42560786438551,0.7818495453435844,13.746696436484017,8.202138138823285,12.84608493488572,9.886932858205585,2.5434852297886197,1.0094766281651308,0.27711123126101705,0.12865878594261507,1.466413254855176,0.7506178263922515,0.9349272654674773
8617099.5696858,50.96440378753575,1.855987145805928,13.343042723902078,12.18672709600385,7.263430776018875,11.23624650433859,2.4980583746252765,0.06019417770181388,0.3711974291611856,0.2207119849066509,0.0,0.0,0.0
1695294.3737793,64.56,0.461,17.6,3.5,1.97,5.09,4.34,2.0,0.17,0.065,0.24399999999998556,0.0,0.0
1910015.9653896,47.517504680968486,1.8620349800036902,10.195404644610369,11.609301249770185,18.152297291402093,8.58774602799516,1.4855579621887363,0.24420130885294294,0.17297592710416793,0.17297592710416793,0.0,0.0,0.0
889813.1707687,61.43652912859344,0.5438643562203351,17.000796912961597,4.291067613141712,2.9509677106029284,5.982507918423689,4.5724892171117135,1.3697324527030692,0.1812881187401117,0.07050093506559907,1.4830878847263982,0.0,0.11716775170940995
7085894.6911378,51.124497991967864,1.4558232931726904,14.71887550200803,10.220883534136544,7.289156626506022,12.329317269076302,2.5803212851405615,0.12048192771084335,0.16064257028112447,0.0,0.0,0.0,0.0
3606452.8001950,48.35830411220912,0.20189140367654873,21.910530230581237,8.288173414089895,7.278716395707152,9.297630432472639,4.356603974072893,0.09563277016257572,0.021251726702794606,0.19126554032515145,0.0,0.0,0.0
344906.9086312,63.64,0.5,17.4,3.515570995016758,2.72,4.42,4.11,1.34,0.07,0.06,2.1936322564391224,0.0,0.03079674854412932
891802.5502527,72.89748361446074,0.16785279987076157,13.813298059952672,2.103096845439542,0.6417901171529118,2.1919600924299454,4.571520372950741,2.033980986669228,0.04936847055022399,0.029621082330134392,1.4810541165067197,0.0,0.018973441686369323
240001.7401533,53.32422675187331,0.8315993481326311,16.661372098629045,7.8265343823985445,6.219853781675156,5.61256097149585,4.015968583443802,2.04422595942615,0.23018356514860816,0.11264302124293592,1.469256798820903,1.33496106350564,0.31661367420744074
889826.7645055,59.07531118845483,0.6808679933584632,16.20065313608815,5.734808926800894,3.74477396347155,6.678513993677863,2.843625148732402,2.803574090299555,0.2102680567724669,0.1001276460821269,1.4805875026164097,0.3855016009390739,0.06138675270620402
568206.8678090,63.79922633014143,0.1807343522100324,15.371932272179597,2.0927135519056383,0.9322087640306933,3.8810324053522747,3.9666434142938685,1.1605047878749448,0.08561100894159429,0.06658634028790668,8.462806772782027,0.0,0.0
66416.3791373,60.0,0.59,16.53,5.26,3.55,6.84,4.0,1.2,0.22,0.11,1.7000000000000028,0.0,0.0
359863.1136028,62.30382492723884,0.5841288328598538,14.928928718282975,3.76416910657602,3.4267591296653195,4.102554256830393,3.4872198769730174,3.4209080896032846,0.15212704161291687,0.06728696071340555,1.462760015508816,2.0905970647967274,0.20873597933842794
1688939.2125552,46.44423740060153,0.6245949167667102,13.773118677419763,4.460248315885354,2.898761023968578,3.00286017676303,2.418303395686493,2.049952547336895,0.23222118700300762,0.07206864424231271,1.201144070705212,22.751788304558588,0.0707013390625327
225588.5872004,62.17321412251026,0.3074552390542928,13.614502304372902,3.622207035108387,6.0338090664404955,4.044957988808039,4.458100966287245,1.6045320288145903,0.04803988110223325,0.028823928661339947,2.7671889002842724,1.0000514066302744,0.29711713192567724
1688951.3239163,57.01371898332115,0.5836049974670668,12.929095328501173,4.7945395176525185,2.7833469109967806,3.322059216350996,4.86636782503308,0.969682149637588,0.17957076845140518,0.07182830738056208,1.3467807633855389,11.03613682343921,0.10326840838292806
5970009.6918420,59.154558842604665,0.911784602814595,16.918669852226373,7.0283633330051325,3.302686450195088,7.243622122360393,3.424257730570367,1.6310813450349977,0.23301162071928538,0.15196410046909914,0.0,0.0,0.0
608105.1809443,66.91028795723567,0.44613618277290035,15.594487479652745,2.686956555336786,1.9366366115823628,2.9911403163183095,5.68823633035448,1.9569155289811309,0.1723707978895297,0.04055783479753639,1.5209188049076148,0.0,0.05535560017091885
346591.1860301,62.16,0.75,16.86,4.920101770816337,1.28,4.37,3.67,3.46,0.43,0.08,2.00335452128805,0.0,0.016543707895606663
568174.7674148,68.66172839506171,0.23703703703703702,16.3358024691358,2.281481481481481,1.0074074074074073,3.990123456790123,4.059259259259259,1.7975308641975307,0.08888888888888888,0.059259259259259255,1.4814814814814814,0.0,0.0
361404.9401758,60.11637159495374,0.5051795932349055,18.354858554201567,3.7838942081516445,2.0801512662613755,5.566881007804252,4.338601212488011,1.9810964440584526,0.25754253772759883,0.06933837554204585,1.4858223330438394,1.4271856561331941,0.033077216399376046
361688.2888272,63.48,0.61,18.75,3.04,1.05,3.98,4.57,1.89,0.2,0.04,2.3900000000000006,0.0,0.0
361402.5797483,59.691895846363856,0.48459080894921136,18.22061441649035,3.459978375897369,1.6573005666063028,5.378957979336246,4.332241832005949,1.9771305005127824,0.28106266919054257,0.04845908089492114,4.442002747988144,0.0,0.02576517576431455
559280.6529971,71.0,0.21,15.49,2.62,0.54,3.08,4.46,2.21,0.06,0.04,0.28879103673070816,0.0,0.0012089632692943329
253579.8856870,70.73,0.28,17.14,1.78,0.7,2.29,4.32,0.71,0.06,0.03,1.9418273731731306,0.0,0.018172626826866392
86522.1247232,56.27568856240998,0.6511691473160216,16.838683865805855,3.1733031686104716,3.2099887543747547,7.153689224035167,4.053757226953262,0.5227695971410314,0.2751418932321218,0.0641997750874951,1.375709466160609,6.343013524010076,0.06288579486316652
253584.7950248,68.05,0.22,17.87,1.71,0.46,2.45,5.12,1.6,0.07,0.04,2.398266693323284,0.0,0.011733306676730264
402120.2530364,63.36,0.31,14.74,5.16,0.81,6.06,2.77,1.28,0.11,0.08,5.27800443380347,0.0,0.04199556619653999
568178.3605211,68.30617283950616,0.21728395061728395,16.958024691358027,2.2320987654320983,1.037037037037037,4.059259259259259,4.187654320987654,1.3728395061728393,0.08888888888888888,0.059259259259259255,1.4814814814814814,0.0,0.0
891807.7364441,72.02832414623255,0.18765091989283125,14.172582634011201,2.2616874029188607,0.5135709386540644,2.775258341572925,4.365352978559548,2.113541939845573,0.05925818522931513,0.029629092614657564,1.4814546307328782,0.0,0.011688789735609164
168964.9502614,66.18713399920811,0.48118242818415385,16.0066807742892,3.6235982857133218,1.767608919860157,3.437017344172528,3.8298193263636735,2.0622104065035165,0.30442153619813817,0.06874034688345056,2.209092166743902,0.0,0.022494465879873266
8572019.4675407,52.13992182018643,1.423273529116969,15.004510373859878,10.323744612609001,6.695399418662924,11.726972035682067,2.205071664829107,0.30069159065851453,0.18041495439510874,0.0,0.0,0.0,0.0
8942884.8511771,51.62772119033353,1.4180147793089672,15.178749750349509,9.586578789694427,7.389654483722787,11.783503095666067,2.8060714999001397,0.08987417615338525,0.11983223487118033,0.0,0.0,0.0,0.0
100550.6064921,60.01136032969621,0.8287758581305799,17.973452345000528,4.806875381049345,1.9970502605556142,5.991150781666843,4.872802635755699,1.2980826693611494,0.2396460312666737,0.05991150781666842,1.904372891618958,0.0,0.01651930808173863
6252710.2109972,51.62154120797381,1.5669939502132302,16.57244867598929,8.13250024794208,7.220073390855896,10.344143608053159,3.7687196270951104,0.406625012397104,0.18843598135475553,0.17851829812555786,0.0,0.0,0.0
5664982.204901,51.107531212243245,2.335884011276681,13.803866290777286,12.827225130890051,5.990737011679419,10.330245670559806,3.1816351188078937,0.1913008457511075,0.2315747080144986,0.0,0.0,0.0,0.0
1161723.5832388,46.564053611998084,0.8152837401036899,17.894962092908838,10.76255062434675,9.25708246674696,14.200385144084521,0.27864127826328644,0.07224033140159278,0.0,0.15480071014627023,0.0,0.0,0.0
1695241.605418,64.01,0.395,17.16,3.62,1.74,4.96,4.39,1.7,0.14,0.077,1.808000000000007,0.0,0.0
2617277.297394,49.855880275640914,1.3462560518730544,17.09383505148425,7.9848053906503536,8.2750541767594,11.231794147402985,3.508805418781076,0.3315406694911253,0.19651319682564883,0.17551562109121088,0.0,0.0,0.0
406021.7716238,75.28,0.24,13.23,0.06,0.24,2.24,5.29,1.38,0.08,0.02,1.9215474027318131,0.0,0.01845259726817666
354493.8815921,63.93847551743195,0.5190945709455834,17.78897164278903,3.593731645007885,1.8767265257263397,5.210910885261432,5.151015357844635,1.4674404217115529,0.23958210966719232,0.03993035161119872,0.08706048600159952,0.0870604860015947,0.0
568205.9035709,69.10446257681072,0.20147073637554147,16.399717940969076,2.2564722474060646,0.9166918505087137,3.8984587488667275,4.27117961116148,1.3297068600785737,0.04029414727510829,0.07051475773143952,1.511030522816561,0.0,0.0
889783.135073,58.95452137183811,0.6371821661392691,17.34551452268014,5.010102688337251,3.104998809599292,6.472961687764002,4.106285070675287,1.7294944509494463,0.23262206065401902,0.09102602373418131,1.4735596142168386,0.7681470559730766,0.07358447743908694
889821.6749671,61.564458188444995,0.5056018305331237,17.002100771849115,3.6906465102333637,1.9728385152174863,5.393086192353312,4.203434826393026,1.8836146627704617,0.1685339435110409,0.06939632968101699,1.4530104370997494,2.053423721801511,0.039854070111799256
