Pressure,Temperature,fO2,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,H2O,Cr2O3,NiO,Failed
1231.94,1947.0,-0.02,66.16,0.71,13.28,4.8,2.85,2.96,4.78,2.53,0.33,0.0,1.61,0.0,0.0,1.0
2390.26,1951.0,-3.47,55.85,0.53,17.26,0.0,8.7,14.28,3.23,0.09,0.06,0.0,0.0,0.0,0.0,1.0
4320.98,1960.0,-4.09,56.24,0.71,16.19,6.3,6.32,7.88,3.62,1.29,0.22,0.0,0.0,1.23,0.0,1.0
1731.28,1968.0,-3.45,54.08,0.61,15.93,0.0,10.64,15.86,2.78,0.05,0.05,0.0,0.0,0.0,0.0,1.0
2385.22,1969.0,0.18,50.47,1.54,14.67,10.52,7.22,12.34,2.89,0.19,0.16,0.0,0.0,0.0,0.0,1.0
890.83,1972.0,2.98,59.97,0.58,17.65,3.88,2.78,5.96,4.32,2.26,0.23,0.0,2.36,0.0,0.0,1.0
1967.01,1974.0,2.17,65.24,0.4,17.49,3.69,1.77,5.06,4.47,1.73,0.14,0.0,0.0,0.0,0.0,1.0
1376.52,1979.0,0.32,52.05,0.33,13.79,2.67,1.39,3.61,3.46,1.63,0.13,0.0,1.19,19.75,0.0,1.0
1645.88,1984.0,-4.88,55.6,1.43,18.55,0.0,8.08,11.77,4.13,0.21,0.17,0.0,0.0,0.05,0.0,1.0
11306.5,1986.0,1.64,64.41,0.59,19.76,0.0,1.09,1.09,5.73,5.53,0.4,0.0,1.38,0.02,0.0,1.0
4832.16,1990.0,-1.6,59.76,0.88,15.13,4.93,4.34,6.26,2.84,4.08,0.27,0.0,1.5,0.0,0.0,1.0
6924.7,1994.0,3.46,65.44,0.23,16.16,2.26,0.94,3.91,4.13,1.63,0.1,0.0,5.21,0.0,0.0,1.0
