source,phase,n,rho mae,rho mean_rel%,rho p95_rel%,rho max_rel%,H mae,H mean_rel%,H p95_rel%,H max_rel%,S mae,S mean_rel%,S p95_rel%,S max_rel%,V mae,V mean_rel%,V p95_rel%,V max_rel%,Cp mae,Cp mean_rel%,Cp p95_rel%,Cp max_rel%
MELTS1.0.2,alkali-feldspar,2554,0.003350773841856499,0.13218225645083925,0.14702887196530048,0.16195423012635143,0.023615839026279804,0.17702732261691867,0.20492648758908458,0.5662766983778867,0.032143550101063165,1.487628686341449,1.6477780483017352,3.1308734148501047,0.0005831137246588407,0.14794209809395964,0.19107642353195925,4.744292449247691,0.03252015871310749,2.743249505439659,5.273038616679344,7.659926571344306
MELTS1.0.2,apatite,3312,0.11219228166438011,3.534060406488381,3.5340604064883805,3.5340604064883805,0.008023980074846525,0.06595796440730227,0.12013071538472696,0.6853434576450194,0.0014250853048514934,0.0667602786060998,0.22349709194264608,1.7779018118786043,0.011569106140243155,3.6788457722557717,4.6185370636214484,18.643030827652318,0.0013697992637582775,0.12071064455478112,0.43921928719189796,3.266570522033064
MELTS1.0.2,clinopyroxene,10140,5.634481402235145e-05,0.0016862837727438717,0.0036227460237059457,0.007673597400101361,0.00023437900176016737,0.0019069961347350462,0.005970780638065738,0.07142230326644042,7.63541574153954e-05,0.0036353655404217085,0.01322266623053785,0.324246426666732,3.1297248193403555e-05,0.010247396728029837,0.0331750365587645,2.2585783373365507,0.0001253475704982754,0.011112535222442639,0.03805569032032488,0.6682621810162744
MELTS1.0.2,olivine,6308,2.6023270842565533e-05,0.000822063477349211,0.0016807881443029302,0.002183738483216363,3.786446270867882e-05,0.0003052508675843888,0.0007547879535733039,0.034842903847116705,1.1928310462103906e-05,0.00045982765107384707,0.0012285726315597507,0.10217378284642753,9.646407282393809e-06,0.0030395757399343795,0.0071628317984840225,1.2682015220338037,1.0627209349014205e-05,0.0008198447655986166,0.002003437623697801,0.3825517380167553
MELTS1.0.2,orthopyroxene,9547,0.0006892161637922041,0.019923139306169776,0.002184552518677696,2.4565389836659954,0.0043117681764083225,0.03372665679231438,0.029110862881416028,1.0759995294411204,0.00029649944983747026,0.013654772358962671,0.03633178578398182,1.7016009873367464,0.00011363025881356001,0.038442768687615494,0.06860753768931427,11.15547707294427,0.006964091506958849,0.5648725798502264,0.09353552982740079,2533.6732371682524
MELTS1.0.2,plagioclase,12083,0.00031547914960469877,0.012061673243680548,0.029525032535554118,0.0925568289260698,0.004578373820223076,0.033595697064910585,0.08166893079838435,0.291723344663187,0.005476168251301797,0.2344068619435624,0.5278693872970984,1.0060832636320094,6.191163346300563e-05,0.016251661993156176,0.03619579435295645,2.5152467583599774,0.010807668394512164,0.8776497989908505,2.750278364705021,13.800181374315985
MELTS1.0.2,quartz,4478,0.07455239063600957,2.9076280511672614,3.531673958184616,3.695935862518624,0.008073588276027142,0.05813925591665148,0.2185155223804746,0.7172920399798339,0.017019767251871317,0.795946891489828,0.961754155055204,2.4836098703336242,0.010992899782962723,2.818563011234049,3.425881021365477,4.444000317181443,0.014643513938235535,1.1210061907109892,11.028164964349745,14.196213104854738
MELTS1.0.2,rhm-oxide,4146,0.0008717151235838809,0.019201726278258707,0.023150216245208476,0.02396438872252013,0.0016071163852363778,0.020058802145872245,0.03322927298438075,0.30313530802685795,0.0005245053554266836,0.026945614886761983,0.06597622849524253,1.4651966468168636,0.00034603033074113505,0.15622261563242146,0.5020270697039054,10.931447201655116,0.00039863973754996056,0.04140535229020181,0.12719975599432407,1.9083370955171521
MELTS1.0.2,spinel,10753,9.043194370545912e-05,0.00200232929698078,0.007322959572374876,0.011565594319048106,0.00041350221828282053,0.005898729735714614,0.01926286092309226,0.5519355752743652,0.00033077443312958535,0.015035599157108394,0.0522567072336085,2.232031861033729,0.0003188133103153979,0.14037195036445163,0.48147566264582464,24.24081269315769,0.00031923223624355984,0.03150533200720468,0.11111400590871943,4.340357805852478
MELTS1.0.2,tridymite,1433,0.03175680634534037,1.4500426963009394,1.758810603170825,1.8232673166004194,0.03332095750335364,0.23762372379418772,0.2512411771890089,0.27167455000802504,0.01740220854320898,0.7941529744028326,0.8717275729966667,0.9357012318942636,0.00653246201449784,1.4305636159473338,1.7341858727712691,3.4561165456321667,0.00010411513226615983,0.008739622496695082,0.034080528179577976,0.6487584772178246
MELTS1.0.2,whitlockite,4678,0.00011089940585939928,0.0034901465258662247,0.0034901465258662242,0.0034901465258662242,0.004156893823159367,0.03526414294991427,0.17970907461356891,0.7690185726000496,0.002975908400856803,0.12865792928198067,0.6901009910809883,2.2405551315173544,0.002816120741219045,0.897550599761778,4.694809659541027,16.447809281782206,0.002671769943943012,0.23124693552287898,1.1570363308114422,4.107648757058595
